Buff ID;Item Name;Max Buy Price (RMB);Min Sell Price (RMB);Quick Price (RMB);Reference Price (RMB);Steam Market Price (USD);Steam Market URL
40827;Sticker | Spiidi (Foil) | Atlanta 2017;43;148.88;93.55;93.65;13.43;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Spiidi%20%28Foil%29%20%7C%20Atlanta%202017
36427;SCAR-20 | Splash Jam (Battle-Scarred);18.3;22;21.9;22;3.57;https://steamcommunity.com/market/listings/730/SCAR-20%20%7C%20Splash%20Jam%20%28Battle-Scarred%29
878158;Souvenir AK-47 | Gold Arabesque (Well-Worn);8230;12680;8363.52;8364.02;1199.4;https://steamcommunity.com/market/listings/730/Souvenir%20AK-47%20%7C%20Gold%20Arabesque%20%28Well-Worn%29
40314;Sticker | Hiko (Foil) | Atlanta 2017;89;230;229.5;230;52.74;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20Hiko%20%28Foil%29%20%7C%20Atlanta%202017
43597;★ StatTrak™ Gut Knife | Case Hardened (Minimal Wear);660;886;885.5;886;184.36;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Gut%20Knife%20%7C%20Case%20Hardened%20%28Minimal%20Wear%29
35104;Krakow 2017 Overpass Souvenir Package;181;280;255.71;256.21;36.74;https://steamcommunity.com/market/listings/730/Krakow%202017%20Overpass%20Souvenir%20Package
43334;★ StatTrak™ Bowie Knife;784;886.46;885.96;886.46;165.73;https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Bowie%20Knife
836456;Sealed Graffiti | Recoil UMP-45 (SWAT Blue);0;24.3;15.73;15.83;2.27;https://steamcommunity.com/market/listings/730/Sealed%20Graffiti%20%7C%20Recoil%20UMP-45%20%28SWAT%20Blue%29
38072;Souvenir Tec-9 | Toxic (Well-Worn);31.4;47;46.9;47;9.9;https://steamcommunity.com/market/listings/730/Souvenir%20Tec-9%20%7C%20Toxic%20%28Well-Worn%29
41219;Sticker | byali (Gold) | Boston 2018;660;1000;999.5;1000;243.54;https://steamcommunity.com/market/listings/730/Sticker%20%7C%20byali%20%28Gold%29%20%7C%20Boston%202018
